OTU_id;#OTU ID;0;1;2;3;4;5;6;7;8;9
OTU143;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__";0;0;1;11;8;3;2;5;3;2
OTU144;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus";0;0;0;14;10;3;4;4;8;4
OTU145;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Melissococcus";0;0;0;0;0;0;0;0;0;0
OTU146;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus";0;0;0;0;0;0;0;0;0;0
OTU147;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus";0;0;0;4;0;2;0;1;0;0
OTU148;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU149;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus";0;0;0;0;0;0;1;0;0;0
OTU150;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus";0;0;0;0;0;0;0;0;0;0
OTU151;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU152;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Fructobacillus";0;0;0;0;0;0;0;0;0;0
OTU153;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc";0;0;0;0;0;0;0;0;0;0
OTU154;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella";0;0;0;0;0;0;0;0;0;0
OTU155;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__";0;0;0;0;0;0;0;0;0;0
OTU156;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus";0;0;0;0;0;0;0;0;0;0
OTU157;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus";355;286;979;707;553;1239;551;907;704;561
OTU158;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__";21;11;6;7;16;13;7;14;5;20
OTU159;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Catabacteriaceae;g__";0;0;0;0;0;0;0;0;0;0
