gene 2h 6h 16h 24h 48h 72h
HIF1A 89.102804486 32.3282028217 17.7789817053 50.0707967654 73.216605274 56.9382658431
ATP6IP2 59.8815754712 105.141771155 124.326187061 143.64328961 111.146859423 124.567155887
KYNU 93.3079901924 102.287901018 30.8292219902 30.3844524961 42.8002999391 40.0569606245
PEX3 45.2982207664 46.1240442473 37.8442534101 115.195177385 68.5709777606 50.4288393745
EIF4G3 106.135295713 83.8572939089 49.0270579133 34.4198220787 36.1573090353 36.2010990577
FLJ22419 123.632537894 83.4646562088 58.4636449207 21.4191801348 30.1436652935 17.8146125531
IFRD1 28.3534610517 83.504370831 68.6815217955 120.532845248 76.2143495306 71.1053115519
DTYMK 68.4219535535 115.395811044 62.2267064047 52.0036138491 34.8136398426 19.9684750839
H2BFF 137.916516657 135.686178223 140.528189068 54.7660315173 103.056887905 176.312188753
MGC14288 79.2586715119 111.711356758 83.5637179555 152.850923206 161.779856567 199.639005888
TFDP1 71.3160242271 68.4287573158 37.234342212 56.4988075973 41.3734406958 27.745661892
MGC5576 66.9903379008 117.679694873 68.9831874554 79.8804870849 44.6930165603 30.0134945375
BM039 68.664622364 111.996443225 70.4834120078 77.2096556078 48.0405436006 27.0139789608
XPO1 74.0721418245 36.5331376739 28.3691892658 73.4416037779 54.3424960948 34.2597249956
ZWINT 50.1289477106 81.0839635766 32.9872547337 64.8485323532 31.696257084 10.0912781271
TSPAN-5 65.4674047931 22.791078495 16.1322036567 41.434535583 36.4009397107 22.3999175017
MBC3205 128.828021992 117.675922106 126.151127261 124.846586822 185.933358639 195.885294408
PRSS7 81.3584556915 102.805265239 62.5936193612 26.7859481023 15.1949021233 9.76742407369
TMSNB 37.9075013924 130.589663458 84.4170397296 97.6423434617 39.5900513577 20.846043952
H2AFD 132.391500273 140.272124921 151.346693429 117.512535691 121.818563399 351.175718156
ADAM9 38.0157543238 88.3399598014 67.2637143584 55.9437974111 33.3333933073 19.2527887473
PHGDH 132.968461813 131.718546212 197.178210069 93.0402844081 54.4107867411 41.5162799363
I_957839 75.6828358576 29.5724716454 15.7785101315 30.4053190237 25.6926021128 20.2702932568
TFRC 72.4881562831 94.6066073243 64.7001739903 85.2691784059 48.2802392026 31.6503308774
LOXL2 76.9313458804 56.6221528267 46.7876668481 36.7808342516 17.7695123003 12.7668862384
I_930405 72.5278264367 76.9889540047 103.717207395 220.440591589 111.609787631 91.9081710876
H2BFC 134.881257526 125.132781482 131.839277549 77.8214097305 131.800099365 169.876970767
COG5 95.7858977266 89.5860959585 30.0636657482 26.3931323738 45.6047107265 29.4358343274
TOP2A 55.7862931324 25.4016516472 16.9624727255 27.9852178403 18.7553093615 7.6023480802
STK39 85.5515633172 51.3501535967 16.8119047854 23.2201304443 33.1891149299 17.545798468
R3HDM 118.966716748 95.4517495257 48.9157332441 39.7862042692 56.3123761474 41.1931032583
HIF1A 91.4814147402 33.6986829597 19.1832797769 50.0349049644 84.6659296691 63.2000491726
CADPS 82.4655737114 73.4731473801 53.876454903 36.9366511535 46.9170939319 34.165899219
TUBB-5 78.0888498685 59.2464752732 29.2107190491 33.5357156148 31.8749682711 26.9033989661
TBL1X 183.798855868 61.0869930937 25.7221233404 27.5197307681 46.8833615105 39.6958488194
NMI 100.804840179 96.6708478531 127.84731128 238.499923255 154.353878663 129.154665913
H2AFZ 77.8316332154 135.191741973 84.7412535915 60.2306435931 35.7212536908 25.0752856537
PRO0659 39.2844810072 117.263766841 78.8350737439 132.292232346 71.402355036 50.0294814102
ACTR3 73.9815495877 58.0991361453 25.1581912083 54.8050610826 64.8232227254 45.0548375181
SNX5 75.5862392196 98.3841212471 60.1391780843 66.8605042195 61.2198848763 39.892738306
TUBB 220.405272768 449.656023538 276.257591691 103.089195238 177.269712383 184.727557962
ATP6V1G1 75.02397518 140.976423643 146.481339901 169.396692726 176.445603758 181.072365994
LOXL2 75.615777112 55.8251234308 47.9561528075 37.1980153126 17.9646604209 12.3196631343
MAP2K1 44.3947028061 31.1794210943 22.6143061637 51.6610864769 35.1491185558 25.1089112633
LOXL2 79.5993959031 58.4636012765 52.1405948074 37.1314238171 20.1824745978 12.8026203216
RAB6KIFL 75.6407152801 51.5696805193 33.1300382458 47.9548862216 27.877987934 13.7679189055
CHAF1B 89.0868086186 78.6464286952 67.192412065 114.891008782 71.8882456031 43.1271206218
MCM2 118.658925184 98.0134323166 71.3828823566 99.8965367422 55.5877227562 32.9019588756
MGC3200 98.2059758121 117.558882411 110.050304115 166.613581531 163.264703875 159.621452038
ACP1 46.838673061 101.684557537 56.0680666312 93.9409129903 42.3856344686 24.358143805
DUSP6 75.3615278504 115.199169335 19.1301819958 68.2603897497 103.140650883 104.373111929
TNFRSF1A 88.331174953 62.0885347275 84.6018430563 124.154634837 127.968773616 113.074471974
PXMP2 71.4910258871 121.516611176 94.6534478722 81.5440572801 42.380500568 32.3256689342
RSU1 101.200290334 100.03527757 75.0115964488 35.0505329994 48.6255080202 39.9174070382
I_963888 114.909794947 34.1136906967 25.6492184559 44.7011581378 55.4468641569 47.270440338
SEC8 124.691127356 94.2916875962 53.177920226 18.763965975 32.5350249455 18.4483055111
I_955704 61.2815296935 56.1088866 29.3466737126 78.994909561 47.5549620214 48.3944237642
SEDL 56.1975797252 147.437691366 131.870520148 190.211440438 84.4582061818 67.8652260007
LOC90701 100.297358733 139.666377671 154.876651245 146.402405159 171.822650606 181.603645816
NCOA6 88.1123819177 32.7372158149 48.1919368249 72.9166249582 66.9221912599 60.5183777317
ARG99 80.1736763837 103.947037872 76.1473589442 41.0333135063 54.6023603347 32.9194898786
CBR3 105.744062083 226.804757839 158.765887306 119.954804545 78.2620880885 81.8799378833
RFC5 88.4158747099 134.863399478 77.6109718232 78.353895137 56.8422881646 34.9253535682
TUBB2 148.01224198 106.034304732 61.3659795007 34.2138497567 32.6171307646 37.5005941604
PRKDC 116.080333629 78.5499214535 42.4975990802 34.3013630565 36.3790296467 32.0154940871
POT1 53.3948413767 39.3868841862 23.2537643563 73.1405352185 54.5388693863 30.7711591255
SPP1 85.4847974407 149.214577666 147.885046634 119.652243591 160.187393573 185.50589018
OA48-18 13.2506969174 46.9827744592 38.6253944959 86.9546903532 54.3450744483 37.728449159
BAL 81.1719834762 102.814980106 143.799680466 241.237704267 112.486144798 149.596479786
STMN1 81.660890662 120.523023779 74.7967891472 57.2693807542 40.0939753758 20.3158893134
BAALC 83.1203143819 110.877503772 50.8873189296 37.5212036447 47.5253561358 38.7055981903
HIS1 153.290398271 960.814419121 345.661610394 280.137560275 266.294625943 240.745215391
STK24 132.197775799 36.1292760804 28.3680055359 58.0361256124 68.1346737953 53.5103630763
FBXO5 27.9856239183 113.692429271 44.887417331 81.000604733 42.5948179747 10.9867594687
UBE3A 96.9349375839 41.5860504617 36.2120706918 71.3949341936 73.0687133704 58.0240070732
RBM5 49.291592326 70.7015817122 84.0406602828 162.445660536 115.910951298 71.9015997558
CSE1L 81.8910339808 79.6984169856 30.0801860204 74.9768148625 95.0604004341 78.5361272432
PPIF 229.732267097 413.672483169 234.099530493 119.376753935 172.268583109 110.717466508
LRPPRC 103.960737106 71.6358370497 35.3954786472 65.815914155 88.2443794601 82.051023667
DKFZp761K1423 45.5508708779 4.39053364738 6.21762249561 14.1997166825 17.1344954933 5.22331852824
SVIL 101.201581252 33.4743624159 21.4080520667 29.1766357474 41.2822201263 31.4325826983
I_1151835 171.773796725 120.942052651 114.769727068 56.883257287 67.2652611159 62.0153472587
IL8 148.386137388 244.858861421 71.0508312351 138.338380568 379.036864406 273.761078776
SMTN 122.140998217 76.6577958564 93.9253421227 61.3053245572 90.459925881 68.5325283021
H1F2 134.680879363 117.196321754 166.621287975 53.7975867504 177.853768298 332.228969953
DDX39 118.102227226 92.0664036265 43.0309476938 51.5301087752 40.599736945 33.3345093874
I_933069 86.03815905 48.6606430932 38.5520411174 101.10795777 89.2614824435 79.7257783799
I_931541 92.3404248996 259.761481519 236.187923937 219.869430906 166.704641576 142.164945651
FLJ10604 100.606390306 149.912864619 102.843610968 86.281027415 53.4674905943 43.432975222
SPAG1 70.3895572193 82.3824547532 70.260917978 166.751333546 98.6448213137 100.058608483
C20orf1 96.7210714785 29.3639905892 30.5847138198 37.2676856354 29.7882322689 18.8785086318
BUB1 59.5220242429 31.3097739571 17.901021927 29.6767458166 23.9163134272 7.37942254975
FLJ14753 62.4934072666 55.1543733143 22.3570235151 54.8027546154 46.731973439 36.8381209757
PTX3 116.586227827 165.137175759 53.0771645402 78.5769382282 186.780790179 152.24890531
TYMS 76.0390277693 94.4441093479 52.7839791041 75.9475834524 47.7743179557 31.9796762564
C20orf52 57.1187263815 105.236341736 102.687361334 147.438241897 115.692550372 188.359469694
NMI 99.4123237399 95.9513023227 129.286727543 240.304288298 145.391187824 119.778516895
CHAF1B 90.6102975467 82.6163356104 66.4997653931 113.024353543 72.8235950229 41.1248004334
MRPL32 66.2616236397 238.142417542 117.914775757 145.105051158 120.577503376 114.957365678
TNC 112.66390787 81.1928537374 70.461190174 44.9405297521 34.0658121729 34.3769355965
RRS1 156.092981496 315.688465282 144.149964146 100.363321132 157.050438485 139.053188484
RAB6KIFL 77.6916121553 49.5377773971 39.4078999416 45.5027727517 30.2753596219 14.3251577969
FN1 88.8160980492 65.92791887 56.7040256217 40.2655624514 25.4718115933 16.677864057
ANXA8 146.719270717 118.446666114 120.762950621 167.317115308 505.038358464 472.599953054
LOXL2 78.5016055465 57.6215345777 49.3236102491 37.5622552348 17.6898363657 12.3879901662
I_957301 42.4199869161 119.407428961 64.4798748128 91.7823707923 55.4399998621 31.1525276862
ERBB2IP 65.4567454688 16.2727868297 19.2002992681 57.0291389276 63.6298785041 37.8334300007
SC5DL 78.81057477 139.286227928 135.734602456 178.613360888 104.336261513 86.6364508617
MPP4 64.9924148641 76.8287999316 28.572475957 23.4335501963 39.358004931 22.1250004553
PIG3 240.375732847 144.120274628 429.991340502 919.486362979 611.535480718 1369.98894934
H2BFG 137.320297694 131.303225694 145.545537966 64.5376382237 134.483518361 194.631658113
KPNB3 140.531570486 100.066086032 57.0094981219 64.722570652 100.174390161 80.9172272641
LOC56898 72.5029909676 121.310232105 118.72964861 200.508309314 136.016505495 138.405847347
I_966819 102.774330726 51.0374403 17.7841869809 29.2173891385 35.9869819061 24.7901552751
DDR2 123.991315408 74.4476597113 44.5960166686 46.408458083 56.3509171673 50.951478537
MIG-6 22.1559807 39.9504638234 15.4860020784 59.5701605307 48.7452657842 27.6367094049
LRP8 78.6317777989 82.5009708596 52.5064235267 46.0352909271 49.0270657294 21.9480153496
FLJ10335 45.3989085266 56.4090214789 29.9690647038 87.5304590647 44.0014457167 28.3128329302
LOXL2 77.1279893035 56.9791091548 47.7999040711 37.373777539 18.4943784756 12.1215420248
MYC 160.376229215 76.857167271 35.030578128 54.5606684591 85.719580453 67.1606898827
PNN 72.7465290717 153.189528282 95.0414540911 96.0424111451 67.3657904406 40.0498829132
PHKB 102.46584525 101.680481131 72.7638223914 40.8707750451 56.493056756 55.9471864934
SAP30 36.0087720115 30.0410903928 30.7937872325 83.2786252978 49.1529333691 30.0276968644
MAGEF1 85.7150192456 114.974522414 122.418151509 189.560156347 159.966902251 151.605093103
PRC1 61.5583370485 56.1100539081 24.271429287 37.1376877821 19.8440558108 7.35127530626
GOLGA4 101.739560705 44.560823699 28.859328027 59.6111567053 65.4781038866 36.634148446
MAST205 141.751904151 87.5447348351 80.1272777826 48.0264396779 83.8762740731 82.1846323131
FMR1 88.9636025014 52.0521484487 45.2568952756 112.178164778 94.5455442866 80.5121844724
CSPG6 83.111472853 38.9437317008 40.6562303878 93.6964073466 69.1601478367 54.2608585817
MSH2 61.6161128645 36.6985004772 20.7433589608 85.5897570138 54.7660279869 30.8467085463
RGS17 78.2985769839 35.489774654 29.5097624212 33.264535121 58.9761023124 39.4266796791
KIAA1536 88.7911745926 86.1465221371 93.258352539 194.388989402 173.615441142 136.347614643
FLJ13409 73.1675450077 37.0861889145 38.9965809384 80.661477759 82.4218543926 64.8744127853
PCM1 95.3455638609 57.2881816942 29.1265389474 82.6733347904 87.9729972637 68.3797587057
PAIP1 86.7417054636 48.1549498331 73.7765831259 165.461475898 172.513668599 108.91634662
IL6 136.069796365 130.582634935 81.1005203456 121.627428148 259.555900144 231.8606167
FLJ20539 93.5015549094 131.136927914 127.33602156 199.319259317 125.206061935 141.70167835
TGFBR2 66.9278954716 21.5344741952 18.4336825471 49.8894180566 56.6851735319 47.8477596875
KIAA0073 42.7551003013 51.7029140036 49.1710313925 139.317142445 85.2967377175 58.9636611656
ETR101 597.272693823 271.130497014 124.173835132 140.239664519 149.189133114 114.415426568
SPP1 85.3373184716 139.338307642 151.589854284 117.9531984 153.542883612 180.930183096
FOXM1 142.107698714 84.9119847576 68.1716758944 49.9947656265 34.4453480547 25.7919845521
I_1100249 75.9430304559 93.4492030761 76.1470758784 182.054399101 129.889701943 100.267520938
RGS20 73.8045681454 80.2250694196 34.1127683099 36.6803938286 38.0586805753 26.5933817605
PPIH 93.0614144471 150.503778992 89.1218019576 75.1312071151 65.6891323019 59.8809550731
GCLM 74.334600296 60.2276172641 43.2371929077 84.1385610938 62.0122038325 40.3583473983
GBE1 45.1211822389 41.8446828462 18.2925619901 16.1977142407 14.4791235501 8.88827543063
MGC16063 115.858224393 66.6356393203 82.8526087564 158.347892914 170.573817278 155.436993786
