gene;2h;6h;16h;24h;48h;72h;;;;;;;;;
I_958187;70,64;117,42;94,93;140,18;95,43;84,91;;;;;;;;;
KIAA1194;72,71;45,78;40,64;73,32;73,35;57,07;;;;;;;;;
I_931694;116,69;135,96;172,68;191,47;221,08;160,85;;;;;;;;;
FLJ20364;34,68;52,35;27,20;59,57;40,08;27,89;;;;;;;;;
LOX;53,78;50,25;42,27;57,05;44,30;33,69;;;;;;;;;
GPR35;64,56;53,44;57,96;26,82;92,23;59,89;;;;;;;;;
I_948907;111,06;146,94;117,35;141,81;107,86;116,92;;;;;;;;;
DARS;54,25;60,33;27,66;54,72;52,09;38,40;;;;;;;;;
BNIP3;30,05;37,34;16,93;31,66;32,30;17,44;;;;;;;;;
NPD007;173,75;229,40;344,77;308,49;210,94;347,76;;;;;;;;;
BIRC2;27,74;50,04;36,16;51,85;33,49;19,21;;;;;;;;;
KIAA0648;85,25;38,30;23,56;54,10;64,74;46,67;;;;;;;;;
NDRG1;28,48;18,12;15,00;22,05;15,12;12,52;;;;;;;;;
LOC51002;53,48;129,24;61,19;77,03;50,41;33,64;;;;;;;;;
WDR1;120,45;82,32;57,67;50,92;64,47;59,76;;;;;;;;;
TOP2B;90,45;74,81;55,63;90,14;103,97;75,69;;;;;;;;;
LOC51161;100,40;81,83;106,84;151,99;101,08;90,73;;;;;;;;;
NUP133;85,72;55,49;42,52;99,13;97,32;69,27;;;;;;;;;
AD24;73,45;48,20;54,04;101,85;101,21;69,04;;;;;;;;;
HSPC213;67,04;103,18;70,80;125,84;128,86;83,90;;;;;;;;;
HNRPR;80,39;58,45;36,93;69,59;60,38;52,26;;;;;;;;;
LOC55829;88,76;160,94;101,95;125,68;96,93;73,38;;;;;;;;;
SDHD;86,74;152,05;103,45;158,57;125,87;114,30;;;;;;;;;
CRIPT;75,52;125,82;110,27;135,25;108,97;110,51;;;;;;;;;
RAINB1;74,01;15,48;24,76;19,03;31,19;24,93;;;;;;;;;
SPP1;82,67;149,55;154,52;120,10;156,31;176,51;;;;;;;;;
CNOT2;85,57;29,42;40,34;75,03;63,31;49,09;;;;;;;;;
PDK2;146,41;137,64;187,99;220,54;192,98;223,62;;;;;;;;;
I_1000624;88,08;68,93;73,34;129,33;103,30;97,08;;;;;;;;;
AMSH;79,25;71,45;64,44;130,36;159,62;114,11;;;;;;;;;
KIAA0433;62,22;77,15;37,62;83,24;91,38;54,47;;;;;;;;;
ARHE;34,80;122,73;71,65;75,98;121,98;90,50;;;;;;;;;
CDC10;47,95;66,36;34,51;57,17;50,31;40,00;;;;;;;;;
BHLHB3;117,14;58,97;42,77;65,58;53,24;47,72;;;;;;;;;
JAZ;77,05;71,89;85,85;53,64;91,83;86,63;;;;;;;;;
I_929434;62,71;66,27;50,59;115,43;67,17;53,62;;;;;;;;;
FLJ20477;103,17;99,92;148,08;219,22;173,53;185,36;;;;;;;;;
MGC861;113,11;121,47;87,47;79,00;66,91;48,01;;;;;;;;;
NY-REN-60;112,31;54,61;31,71;50,03;62,66;62,06;;;;;;;;;
PRMT6;71,68;72,21;61,33;154,94;148,61;104,39;;;;;;;;;
SERPINB7;69,98;102,82;82,84;92,68;166,48;164,15;;;;;;;;;
PDCD6;58,15;93,16;62,87;108,57;75,25;64,51;;;;;;;;;
PRKAB1;118,84;163,63;340,92;230,73;169,16;162,46;;;;;;;;;
HHGP;74,03;98,35;69,86;53,42;70,14;52,76;;;;;;;;;
ARHE;35,48;134,07;77,57;74,67;119,50;91,67;;;;;;;;;
PAM;43,83;68,53;61,49;60,97;35,91;23,46;;;;;;;;;
ABCB6;97,62;143,23;176,11;144,38;144,58;122,68;;;;;;;;;
BUP;84,69;151,62;119,30;189,23;153,08;143,26;;;;;;;;;
SRP14;66,44;119,21;115,70;139,40;106,52;116,37;;;;;;;;;
PRPSAP2;75,52;54,52;57,33;119,47;100,38;86,97;;;;;;;;;
FOXD1;100,95;89,45;45,02;78,42;125,02;66,74;;;;;;;;;
RNASE4;48,94;63,69;64,28;100,97;56,65;35,67;;;;;;;;;
PSMC1;92,02;106,20;64,78;123,27;84,49;78,59;;;;;;;;;
ALEX2;107,89;111,65;155,45;193,67;162,36;147,27;;;;;;;;;
ITGA5;128,99;62,12;55,70;63,32;82,29;65,41;;;;;;;;;
I_1152487;86,76;157,30;165,57;133,60;117,69;102,14;;;;;;;;;
CTNNA1;74,90;70,71;38,15;38,61;51,52;35,14;;;;;;;;;
FLJ11159;86,62;186,86;129,59;151,19;109,86;116,05;;;;;;;;;
I_963896;75,00;89,61;65,73;107,26;108,31;117,47;;;;;;;;;
FLJ14775;92,03;54,90;78,98;122,10;99,06;74,84;;;;;;;;;
KRTHA4;105,86;111,94;90,73;94,55;353,08;268,73;;;;;;;;;
TARDBP;78,81;55,08;55,19;94,80;67,88;55,95;;;;;;;;;
VMP1;41,84;80,28;37,37;40,72;31,45;29,69;;;;;;;;;
SPHK1;145,20;216,88;161,33;81,61;74,48;88,67;;;;;;;;;
FLJ12528;116,82;63,51;78,09;163,46;128,64;152,55;;;;;;;;;
GHITM;67,99;121,09;98,06;143,31;120,74;86,31;;;;;;;;;
HSU54999;63,96;34,91;31,48;48,69;40,39;28,00;;;;;;;;;
CYB5;65,82;117,83;70,75;77,42;62,82;42,37;;;;;;;;;
CLONE24945;90,99;211,15;158,64;146,65;77,04;103,25;;;;;;;;;
CPR8;75,48;104,99;129,47;285,48;147,52;111,02;;;;;;;;;
IF2;119,06;74,72;52,37;100,02;94,43;69,22;;;;;;;;;
KIAA0603;94,14;27,69;29,95;62,29;63,87;49,54;;;;;;;;;
PDK4;94,51;110,97;97,00;180,62;110,35;247,66;;;;;;;;;
MGC5306;37,53;104,61;72,41;96,97;68,87;46,12;;;;;;;;;
FHL2;86,56;72,58;54,38;67,00;177,67;126,90;;;;;;;;;
HNRPL;171,09;90,44;58,73;61,95;96,55;85,38;;;;;;;;;
JM4;154,65;118,48;160,69;138,94;208,05;221,37;;;;;;;;;
MALT1;78,25;51,24;36,22;77,88;67,47;55,98;;;;;;;;;
I_944902;69,00;105,30;93,22;97,85;68,81;56,43;;;;;;;;;
EXO1;77,72;99,96;90,15;100,55;66,49;51,60;;;;;;;;;
COX7A2;52,19;123,21;107,06;134,95;105,18;133,64;;;;;;;;;
C5orf7;77,57;40,77;60,48;106,15;93,54;73,41;;;;;;;;;
CKLF1;70,42;140,63;58,29;88,19;62,94;64,62;;;;;;;;;
LGALS3;85,38;128,42;120,95;109,84;162,37;183,75;;;;;;;;;
DKFZP564D166;89,95;33,76;64,66;31,44;67,04;54,91;;;;;;;;;
DUSP1;254,69;368,57;132,35;323,72;277,25;171,41;;;;;;;;;
DLD;77,67;94,90;71,81;129,99;99,01;86,75;;;;;;;;;
LPXN;92,20;97,12;53,41;59,54;71,36;58,66;;;;;;;;;
LOC63920;53,40;107,85;67,28;130,16;81,30;75,23;;;;;;;;;
FAP;37,52;107,56;77,08;70,62;64,14;46,23;;;;;;;;;
PKMYT1;117,49;172,40;129,70;105,27;89,15;34,45;;;;;;;;;
PEG10;88,48;101,30;74,10;135,71;87,74;68,73;;;;;;;;;
TP53TG1;107,65;158,07;186,39;208,81;288,88;377,48;;;;;;;;;
I_1109293;119,46;59,37;33,61;57,08;55,87;48,21;;;;;;;;;
MGC14156;78,20;201,10;122,24;153,84;134,93;90,20;;;;;;;;;
RNP24;97,66;134,09;136,78;108,58;55,18;96,10;;;;;;;;;
SALL1;38,62;51,57;47,86;100,40;71,13;55,71;;;;;;;;;
KIAA1094;135,26;101,05;192,35;195,36;169,23;151,98;;;;;;;;;
BTG2;200,37;427,44;444,43;279,11;542,62;386,56;;;;;;;;;
I_929363;87,31;77,37;42,17;58,61;76,09;71,19;;;;;;;;;
I_944091;87,03;93,44;67,08;69,02;77,98;61,65;;;;;;;;;
P5;77,09;93,70;103,19;120,67;65,69;44,63;;;;;;;;;
IF2;117,80;79,91;51,29;99,96;93,99;72,17;;;;;;;;;
I_966001;80,41;94,01;93,35;147,30;85,23;65,43;;;;;;;;;
UBE1;172,37;114,32;143,81;137,08;194,36;198,22;;;;;;;;;
I_930129;128,86;116,09;86,06;54,50;75,95;80,97;;;;;;;;;
MIC2L1;116,18;97,83;107,56;72,73;57,05;49,23;;;;;;;;;
FLJ10997;47,68;44,42;72,07;114,18;82,85;100,21;;;;;;;;;
TRIP11;82,72;53,20;65,49;128,31;117,60;84,04;;;;;;;;;
MGC14961;85,10;33,37;43,24;55,16;56,49;43,51;;;;;;;;;
FLJ12761;116,10;39,87;65,48;100,73;93,30;74,87;;;;;;;;;
I_1109208;73,08;119,13;124,89;141,44;86,17;94,03;;;;;;;;;
KIAA0710;63,81;82,47;56,84;142,20;76,34;74,73;;;;;;;;;
AIM2;76,71;89,98;108,18;128,30;79,54;82,70;;;;;;;;;
P29;101,81;168,92;162,61;177,64;126,10;144,62;;;;;;;;;
I_963374;112,67;64,46;34,46;62,67;57,38;41,41;;;;;;;;;
FLJ22029;103,97;63,19;31,91;43,73;50,82;36,95;;;;;;;;;
PTPRE;111,99;81,66;80,33;92,94;146,62;137,01;;;;;;;;;
SID6-306;61,77;99,21;63,64;46,21;48,53;44,73;;;;;;;;;
FLJ20432;70,78;202,41;148,47;144,06;128,31;104,94;;;;;;;;;
TRIM22;77,75;176,93;263,42;418,26;275,14;249,74;;;;;;;;;
HSPC111;146,92;244,41;120,65;95,34;114,19;107,42;;;;;;;;;
PCDHB11;102,51;115,94;134,45;179,01;131,97;132,72;;;;;;;;;
MGC10911;89,46;192,84;134,58;108,78;96,95;89,01;;;;;;;;;
OAZ2;86,87;104,86;106,78;126,61;68,94;72,81;;;;;;;;;
EIF3S3;87,08;108,51;69,16;53,65;68,14;57,51;;;;;;;;;
STCH;70,08;127,08;116,06;147,86;84,06;77,88;;;;;;;;;
I_1100453;135,77;98,62;80,30;75,71;75,07;70,55;;;;;;;;;
HSPC194;48,15;95,15;74,33;100,27;83,87;56,55;;;;;;;;;
AP3B1;84,71;66,50;42,76;38,04;70,55;43,34;;;;;;;;;
DPYD;83,52;57,96;43,26;43,31;45,77;39,59;;;;;;;;;
DDX18;81,98;79,09;57,10;114,27;104,27;81,36;;;;;;;;;
HCA4;84,83;242,47;201,40;183,81;129,67;106,18;;;;;;;;;
PPP3CA;95,60;60,05;24,47;32,73;42,28;28,07;;;;;;;;;
FLJ21212;58,91;91,95;51,10;69,29;49,78;34,78;;;;;;;;;
ETFA;77,34;103,98;52,52;55,06;63,47;58,90;;;;;;;;;
FLJ22318;110,76;65,73;74,93;167,51;129,47;131,60;;;;;;;;;
MFAP1;76,85;143,56;137,90;205,56;136,43;94,01;;;;;;;;;
CSNK1A1;70,24;46,76;43,65;80,11;65,72;55,70;;;;;;;;;
I_951088;118,18;148,63;190,93;159,70;202,23;163,01;;;;;;;;;
GOLGA5;70,00;53,26;54,91;114,69;95,61;98,61;;;;;;;;;
I_933366;96,52;109,59;126,81;203,79;154,94;177,82;;;;;;;;;
BCAA;39,44;36,87;48,30;95,72;82,18;62,85;;;;;;;;;
CRYM;101,59;123,86;107,22;72,86;85,30;78,06;;;;;;;;;
PMM2;70,13;27,59;50,70;83,90;78,21;42,42;;;;;;;;;
FLJ20364;37,85;54,85;30,19;59,37;40,24;30,27;;;;;;;;;
TEAD1;66,36;32,43;27,60;26,00;48,49;33,22;;;;;;;;;
PGK1;43,19;52,20;43,55;38,83;28,38;19,30;;;;;;;;;
HSPC196;113,32;52,19;74,79;102,01;117,20;102,44;;;;;;;;;
FLJ13646;54,23;104,08;95,62;153,61;93,39;90,63;;;;;;;;;
MPP5;83,00;55,86;76,31;119,39;102,24;93,09;;;;;;;;;
PTTG1IP;79,53;84,77;76,66;105,35;71,73;59,92;;;;;;;;;
I_958429;58,20;109,20;124,94;174,30;116,51;109,08;;;;;;;;;
RAMP;78,72;46,09;45,71;87,04;77,01;32,56;;;;;;;;;
KLF2;292,96;70,69;65,72;110,46;118,04;73,37;;;;;;;;;
PARVA;143,45;105,20;74,10;61,50;88,69;85,93;;;;;;;;;
I_960943;74,01;25,34;21,75;31,32;22,89;12,73;;;;;;;;;
I_961565;34,87;21,68;40,54;75,28;91,46;51,56;;;;;;;;;
LOC112970;62,99;195,90;151,79;137,27;129,17;79,98;;;;;;;;;
I_929363;88,37;81,63;42,48;59,62;76,10;66,43;;;;;;;;;
KIAA0354;46,20;123,33;106,80;132,47;133,66;94,64;;;;;;;;;
FLJ20508;86,60;148,59;122,34;111,24;100,19;76,92;;;;;;;;;
HMG1;60,54;108,33;53,63;72,57;48,64;36,78;;;;;;;;;
HERC1;85,35;38,94;28,40;58,25;69,26;43,00;;;;;;;;;
PRDX4;61,60;111,37;84,94;107,96;76,23;58,46;;;;;;;;;
PFN2;64,85;88,79;41,69;68,72;56,65;53,74;;;;;;;;;
Hs,153312;110,88;210,89;158,55;117,20;97,92;87,49;;;;;;;;;
CHAF1B;94,12;82,73;61,49;113,38;71,03;41,43;;;;;;;;;
NSBP1;76,60;131,01;113,25;177,79;106,98;88,21;;;;;;;;;
FLJ11220;50,64;59,45;77,10;117,37;102,66;99,87;;;;;;;;;
ITPR1;41,43;22,95;14,26;21,81;23,66;9,55;;;;;;;;;
KIAA0144;122,56;78,46;70,16;147,63;114,08;79,37;;;;;;;;;
EXTL2;62,56;118,83;80,06;113,47;81,29;60,72;;;;;;;;;
CCNA2;64,50;47,51;39,24;46,97;29,48;18,45;;;;;;;;;
PC326;71,49;59,79;29,23;50,82;46,25;36,16;;;;;;;;;
FLJ21634;59,99;90,43;50,95;92,76;102,86;77,90;;;;;;;;;
CCNA2;62,92;47,15;38,31;47,87;28,96;17,27;;;;;;;;;
FLJ20432;78,08;216,04;153,14;138,94;131,46;109,52;;;;;;;;;
I_960747;80,27;107,92;56,02;69,58;48,15;41,18;;;;;;;;;
MRPL39;83,72;88,09;61,59;118,41;106,21;99,84;;;;;;;;;
PP1044;97,50;150,68;149,76;188,04;117,37;93,63;;;;;;;;;
DDX8;114,97;97,38;124,23;140,12;140,12;136,18;;;;;;;;;
LOC51035;143,47;121,02;141,52;163,84;214,26;185,68;;;;;;;;;
PTPNS1;62,35;76,38;76,62;98,86;57,11;48,36;;;;;;;;;
FZD4;103,50;282,32;158,11;182,28;125,75;117,56;;;;;;;;;
NCOR2;152,87;74,88;79,39;90,02;113,51;107,41;;;;;;;;;
COX7C;52,27;110,59;92,04;132,98;116,32;111,28;;;;;;;;;
I_1152065;111,57;69,93;102,41;155,07;130,02;121,60;;;;;;;;;
MGC4189;93,82;110,85;74,24;135,30;101,37;103,90;;;;;;;;;
MGC5254;48,40;43,30;35,05;74,67;54,52;20,29;;;;;;;;;
LBR;52,30;39,82;26,84;55,78;44,24;22,43;;;;;;;;;
I_957814;125,45;52,10;53,43;82,83;82,49;77,41;;;;;;;;;
DDX18;80,39;83,55;59,83;112,40;106,35;81,14;;;;;;;;;
SHB;93,62;40,36;45,51;57,19;49,44;50,63;;;;;;;;;
ZNFN2A1;96,63;124,29;179,60;222,47;164,54;201,86;;;;;;;;;
CAP2;78,73;74,91;50,82;53,31;86,64;68,51;;;;;;;;;
FLJ20666;45,21;101,23;76,88;111,19;98,19;46,65;;;;;;;;;
MCL1;39,65;86,69;73,49;96,41;124,24;127,81;;;;;;;;;
OPN3;76,24;91,08;88,91;52,32;72,60;66,19;;;;;;;;;
XPOT;90,44;63,99;46,60;93,38;93,91;72,74;;;;;;;;;
MT1E;97,77;138,05;73,39;46,88;73,04;59,21;;;;;;;;;
MGC5254;48,65;41,97;33,62;76,16;55,64;19,35;;;;;;;;;
IK;118,16;124,14;117,79;173,20;140,17;128,17;;;;;;;;;
FLJ10156;79,52;114,53;66,23;62,65;52,98;27,08;;;;;;;;;
CRNKL1;103,62;89,76;96,86;146,20;107,22;119,24;;;;;;;;;
HT007;59,49;195,11;119,32;132,07;95,42;81,41;;;;;;;;;
I_935662;125,23;50,20;52,16;75,45;83,84;66,44;;;;;;;;;
WWP2;110,72;52,06;63,51;74,14;87,89;74,23;;;;;;;;;
FXR1;85,53;75,01;41,41;82,05;79,08;62,69;;;;;;;;;
HPCA;176,01;84,20;88,43;32,39;59,73;74,09;;;;;;;;;
SRI;84,32;95,58;60,03;79,98;117,74;95,69;;;;;;;;;
GA17;108,52;120,68;73,13;108,43;111,75;87,42;;;;;;;;;
UBQLN1;85,84;72,03;52,94;101,35;102,23;81,97;;;;;;;;;
ATP6V0C;211,48;140,91;230,26;181,65;225,09;222,62;;;;;;;;;
KIAA0418;71,00;32,76;32,38;40,17;48,76;33,00;;;;;;;;;
INPP4B;113,59;59,31;52,00;48,00;85,82;71,18;;;;;;;;;
SHOX2;76,97;166,43;147,04;212,79;108,74;114,88;;;;;;;;;
NAP1L1;75,90;69,45;28,09;62,34;72,72;51,01;;;;;;;;;
ACOX2;116,97;122,12;99,06;76,94;91,30;99,99;;;;;;;;;
I_966001;82,32;93,94;87,08;150,05;82,13;71,05;;;;;;;;;
MGC5254;50,34;43,81;34,98;75,73;46,58;21,28;;;;;;;;;
I_1100484;62,57;45,29;39,85;76,32;64,57;51,53;;;;;;;;;
RBM15;96,27;311,86;158,99;106,81;116,33;101,12;;;;;;;;;
ZIC2;121,24;196,52;134,71;163,52;91,40;71,73;;;;;;;;;
CFDP1;108,90;110,55;51,52;55,41;65,81;57,31;;;;;;;;;
FLJ20432;70,68;213,37;148,56;143,61;136,59;105,73;;;;;;;;;
ACTR2;74,80;76,10;45,80;81,78;83,11;58,87;;;;;;;;;
I_966001;81,53;100,86;92,21;140,26;90,00;67,95;;;;;;;;;
C9orf15;138,29;114,03;100,80;102,11;189,91;179,48;;;;;;;;;
I_1000549;97,63;36,84;61,08;123,20;136,16;96,10;;;;;;;;;
FLJ13949;161,02;221,56;146,55;126,12;110,74;74,75;;;;;;;;;
MRIP2;56,98;42,82;36,17;51,94;33,30;25,27;;;;;;;;;
I_1100666;124,29;104,28;88,64;79,35;81,84;62,38;;;;;;;;;
ATP6IP1;147,95;124,62;156,85;185,98;159,19;161,76;;;;;;;;;
C20orf108;127,77;155,52;164,01;179,39;235,84;214,67;;;;;;;;;
RANBP7;110,17;58,87;38,01;68,96;86,65;70,14;;;;;;;;;
I_1151816;61,19;97,09;72,40;118,47;72,42;69,40;;;;;;;;;
MYO5A;115,00;100,95;64,51;57,83;78,39;68,12;;;;;;;;;
RPP40;145,06;98,67;45,94;47,29;70,80;49,30;;;;;;;;;
I_1152322;90,07;40,02;40,62;78,16;72,52;74,76;;;;;;;;;
MTERF;42,45;221,72;166,25;171,21;88,99;77,30;;;;;;;;;
EIF3S8;179,98;104,08;94,46;79,25;118,07;131,30;;;;;;;;;
KIAA0753;55,67;65,40;80,89;130,94;102,68;78,63;;;;;;;;;
KIAA0110;88,93;234,55;142,27;144,17;138,44;115,76;;;;;;;;;
FLJ10359;157,75;86,23;51,32;67,04;66,68;62,82;;;;;;;;;
I_962475;101,63;122,69;117,02;145,03;165,48;139,55;;;;;;;;;
I_958593;111,86;184,34;195,61;138,47;102,56;118,24;;;;;;;;;
I_965123;145,39;208,33;242,21;218,84;158,28;173,96;;;;;;;;;
DUSP11;69,92;84,32;103,14;149,03;196,05;145,81;;;;;;;;;
STAF65(gamma);82,50;136,53;150,05;203,46;138,22;124,31;;;;;;;;;
I_1221838;66,21;61,84;66,93;116,17;106,20;89,92;;;;;;;;;
I_933607;65,80;107,24;92,85;151,05;103,07;88,46;;;;;;;;;
PTPRG;143,73;110,52;90,85;66,17;69,83;59,32;;;;;;;;;
I_928904;61,46;33,86;39,38;53,90;56,96;38,08;;;;;;;;;
DKFZP434C245;105,57;65,40;50,97;52,05;59,62;40,76;;;;;;;;;
BARD1;53,63;37,14;36,78;72,04;49,73;32,20;;;;;;;;;
ATRAP;131,94;120,29;147,86;177,27;215,02;213,34;;;;;;;;;
ST3GALVI;70,21;78,83;103,89;144,39;119,79;91,57;;;;;;;;;
FIGNL1;69,48;160,20;86,81;140,84;97,35;62,50;;;;;;;;;
FLJ20725;36,38;45,53;59,92;105,27;96,94;67,01;;;;;;;;;
ST3GALVI;79,02;91,29;96,64;146,03;87,09;105,39;;;;;;;;;
I_961925;116,03;43,30;51,39;86,40;74,83;53,50;;;;;;;;;
DKFZp762K2015;63,40;45,39;54,35;105,64;85,60;70,78;;;;;;;;;
ASP;79,91;88,49;88,45;146,90;86,57;79,46;;;;;;;;;
MRPL17;101,60;112,94;65,94;76,37;75,96;76,15;;;;;;;;;
SSFA2;64,98;44,34;43,40;91,58;110,36;85,37;;;;;;;;;
PRO1866;89,65;68,25;29,74;52,93;72,18;52,50;;;;;;;;;
ALEX1;105,44;141,46;208,18;195,22;185,97;145,02;;;;;;;;;
I_962691;86,79;130,12;133,96;145,60;104,44;101,86;;;;;;;;;
I_931020;67,76;66,31;58,63;126,83;143,03;105,12;;;;;;;;;
SS18L2;105,18;225,83;115,22;121,54;92,90;96,73;;;;;;;;;
C1R;68,57;102,25;140,21;177,84;120,18;81,09;;;;;;;;;
KIAA0878;115,53;97,57;80,17;137,77;102,22;113,77;;;;;;;;;
RI58;69,76;163,16;160,39;161,85;124,60;116,07;;;;;;;;;
IMAGE3455200;56,44;72,38;72,60;82,19;53,77;45,39;;;;;;;;;
FLJ12707;107,50;60,77;105,97;156,35;164,24;140,45;;;;;;;;;
SIP;94,81;142,20;72,18;86,75;66,30;63,55;;;;;;;;;
MGC5302;64,38;81,68;83,65;140,44;117,26;96,80;;;;;;;;;
RAMP;83,95;41,33;50,53;87,55;67,04;31,17;;;;;;;;;
FLJ22865;139,29;105,44;56,50;85,23;82,77;76,84;;;;;;;;;
BNIP2;72,93;51,98;63,20;113,66;102,27;78,46;;;;;;;;;
PHTF1;70,07;70,04;35,16;103,03;75,76;51,82;;;;;;;;;
MGC5528;70,65;67,73;45,12;109,46;75,21;47,33;;;;;;;;;
C8FW;405,04;239,10;103,53;119,58;100,86;246,72;;;;;;;;;
EDG1;115,89;131,61;209,87;252,02;115,00;149,63;;;;;;;;;
CCND1;134,55;102,54;89,85;41,28;97,51;79,72;;;;;;;;;
DKC1;113,97;105,41;67,91;80,69;87,83;63,83;;;;;;;;;
I_1000584;96,53;65,03;49,84;99,72;84,85;63,35;;;;;;;;;
FLJ22060;54,23;61,07;46,09;118,65;78,38;55,08;;;;;;;;;
HM13;151,44;83,34;104,97;83,49;126,23;117,33;;;;;;;;;
TBX2;87,91;51,77;56,05;39,94;34,83;40,03;;;;;;;;;
PRKG1;116,52;105,27;114,01;71,57;93,02;128,70;;;;;;;;;
YAP;81,23;66,14;93,60;132,02;115,46;93,57;;;;;;;;;
RFC3;60,65;62,61;50,85;86,11;51,34;32,89;;;;;;;;;
I_1000194;68,15;131,33;83,30;106,06;77,28;75,85;;;;;;;;;
I_1000320;90,00;90,43;42,80;69,36;68,00;51,56;;;;;;;;;
S100A14;139,06;107,20;161,36;106,01;234,57;229,88;;;;;;;;;
LOC57099;146,73;97,20;75,84;66,49;95,77;94,14;;;;;;;;;
IMMT;107,04;80,34;45,03;96,93;90,46;78,22;;;;;;;;;
GSTA4;70,38;109,12;122,92;165,16;138,19;155,20;;;;;;;;;
PPARG;102,40;92,74;69,40;69,57;83,35;109,55;;;;;;;;;
HARP11;70,18;92,04;73,48;120,79;112,33;109,33;;;;;;;;;
OXCT;92,14;109,37;76,61;36,14;56,56;60,92;;;;;;;;;
KNSL5;53,59;35,68;28,35;47,40;31,45;15,69;;;;;;;;;
EPAS1;93,16;60,82;37,18;39,29;40,07;27,78;;;;;;;;;
FLJ12799;65,92;44,26;54,67;103,19;82,83;58,45;;;;;;;;;
TIEG;336,46;169,83;103,40;118,09;101,75;77,64;;;;;;;;;
GRIM19;119,05;122,07;143,97;145,58;136,83;241,68;;;;;;;;;
MGC5254;46,98;44,29;33,89;76,47;52,82;22,22;;;;;;;;;
FLJ12838;66,36;123,10;90,40;79,56;61,41;33,67;;;;;;;;;
LOC64167;95,65;125,33;125,79;155,29;112,60;104,99;;;;;;;;;
FLJ22833;36,69;74,68;57,61;77,44;109,86;104,96;;;;;;;;;
SPS2;109,52;190,22;178,60;222,03;127,28;130,75;;;;;;;;;
UAP1;73,98;65,58;42,02;98,82;72,44;62,87;;;;;;;;;
NRD1;102,15;101,80;62,23;65,58;101,13;87,71;;;;;;;;;
MLC1SA;94,89;119,48;131,93;112,22;84,62;93,34;;;;;;;;;
FLJ10996;98,60;54,63;67,33;119,81;125,88;78,16;;;;;;;;;
WWP1;93,24;60,38;36,57;75,10;74,16;62,11;;;;;;;;;
ARHGEF5;119,47;103,93;135,40;178,57;114,57;156,44;;;;;;;;;
ULBP2;120,39;305,93;258,33;179,03;149,03;176,00;;;;;;;;;
BLK;209,65;124,48;76,96;54,40;109,26;124,02;;;;;;;;;
CECR5;63,60;64,65;54,06;107,58;67,43;49,87;;;;;;;;;
LOC51045;79,13;141,59;150,13;186,74;97,68;113,53;;;;;;;;;
ATP6V1H;87,96;65,33;37,06;75,89;83,55;61,10;;;;;;;;;
I_1100433;77,79;137,10;123,47;144,95;105,62;134,54;;;;;;;;;
I_1201918;142,63;72,01;72,29;108,24;108,12;113,76;;;;;;;;;
STX1A;51,70;52,92;23,98;38,35;31,39;20,65;;;;;;;;;
STAU;107,07;55,46;41,15;83,30;87,43;62,41;;;;;;;;;
PIR51;44,90;50,06;45,77;92,84;59,78;36,29;;;;;;;;;
FLJ12969;63,24;52,20;84,47;188,80;110,96;87,54;;;;;;;;;
EIF2S1;103,61;108,61;65,88;96,20;117,32;89,11;;;;;;;;;
I_929363;98,41;92,15;41,24;60,33;74,84;76,12;;;;;;;;;
C11orf2;174,38;100,02;99,11;120,91;160,95;168,25;;;;;;;;;
AOP2;158,02;137,04;167,35;132,20;193,32;187,79;;;;;;;;;
KIAA1169;159,45;134,60;130,67;91,73;94,27;88,56;;;;;;;;;
GSTT1;97,57;150,09;174,19;188,96;145,75;165,36;;;;;;;;;
IF2;118,50;76,84;50,89;103,51;96,16;72,72;;;;;;;;;
BTBD1;66,82;94,91;42,40;84,98;115,79;91,43;;;;;;;;;
PDCD10;51,96;55,46;51,13;112,10;80,18;68,51;;;;;;;;;
FLJ10375;126,60;104,48;96,05;68,14;82,01;92,41;;;;;;;;;
MGC14817;112,85;170,31;167,34;117,41;100,80;102,22;;;;;;;;;
I_966373;82,06;193,80;135,67;173,93;96,83;91,18;;;;;;;;;
KCNMA1;87,02;84,55;55,77;23,10;50,29;24,28;;;;;;;;;
TAF1C;86,03;126,94;129,74;155,70;115,45;94,03;;;;;;;;;
I_1000248;119,24;172,61;123,03;98,13;83,65;81,55;;;;;;;;;
PIBF1;54,45;23,46;22,89;41,30;52,54;32,88;;;;;;;;;
I_1918393;126,31;104,05;82,32;36,71;64,37;43,86;;;;;;;;;
FGF5;55,27;74,14;67,56;110,20;146,49;89,97;;;;;;;;;
REQ;129,65;140,38;206,44;182,41;225,09;191,87;;;;;;;;;
ACAD8;98,75;176,21;147,09;163,24;114,68;119,50;;;;;;;;;
MRPL30;77,81;155,33;104,60;113,16;90,97;52,61;;;;;;;;;
GRSF1;74,09;78,12;59,22;122,06;102,17;83,17;;;;;;;;;
CRYAB;127,65;111,55;188,90;233,45;238,16;448,71;;;;;;;;;
COPB2;89,18;77,20;52,90;104,98;119,64;109,40;;;;;;;;;
STAM;82,22;38,76;60,86;90,53;109,31;74,76;;;;;;;;;
METAP1;88,33;68,33;49,49;77,55;62,86;47,03;;;;;;;;;
ARGBP2;107,42;48,28;30,23;33,41;34,30;28,51;;;;;;;;;
AHR;92,76;25,27;43,47;102,66;166,91;115,38;;;;;;;;;
HINT1;51,97;114,77;88,18;117,79;75,87;77,89;;;;;;;;;
KIAA1563;59,89;51,92;57,98;127,55;126,98;93,22;;;;;;;;;
